engine,repeat,seconds,peak_rss_mib,exit_code,result_count
cppkh,1,14.748593300,88.226562,0,100
quick_cppkh,1,14.913823300,117.925781,0,100
quick_cppkh_interface,1,15.143305000,152.335938,0,100
cppkh,2,14.831042600,88.230469,0,100
quick_cppkh,2,14.904006600,117.527344,0,100
quick_cppkh_interface,2,15.065402200,150.789062,0,100
cppkh,3,14.852092100,88.140625,0,100
quick_cppkh,3,14.771154600,117.808594,0,100
quick_cppkh_interface,3,15.043559700,150.699219,0,100
cppkh,4,14.826423800,88.171875,0,100
quick_cppkh,4,14.848238400,117.886719,0,100
quick_cppkh_interface,4,15.025069800,150.656250,0,100
cppkh,5,15.565988100,88.253906,0,100
quick_cppkh,5,21.364523000,117.910156,0,100
quick_cppkh_interface,5,22.013319100,151.683594,0,100
